surprisal	artpres	noun	verb	verbdeentr	denounentr	verbhetentr	hetnounentr	verbeenentr	eennounentr
8.929336514654	NOART	US	wint	0.02459564	0.006916577	0.01992769	0.002853464	0.004401299	0.002514151
5.462485802974854	NOART	Cofidis	bezorgt	0.02621019	0.01202883	0.01081312	0.004962545	0.00952731	0.004372436
9.595286297406213	NOART	ton	betaalt	0.06618841	0.01422839	0.02031636	0.005869981	0.01351571	0.005171967
13.971069138104586	NOART	freq1	wil	0.03567796	0.02766631	0.02007738	0.01141385	0.01564678	0.0100566
10.328841314573804	NOART	freq1	verkoopt	0.01598498	0.02766631	0.006594671	0.01141385	0.006605657	0.0100566
6.711916004220368	NOART	freq1	huurt	0.02263607	0.02766631	0.009338607	0.01141385	0.008228129	0.0100566
8.500265809957376	NOART	freq1	verlaat	0.03964478	0.02766631	0.02574471	0.01141385	0.008601041	0.0100566
10.765667932883462	NOART	Matterhorn	mogen	0.04722881	0.01383316	0.006338579	0.005706926	0.008379208	0.005028301
8.204308792371183	NOART	ontucht	bestraft	0.007585924	0.01053955	0.003129606	0.004348135	0.002757455	0.003831087
12.395621387680146	NOART	brouwer	mag	0.03070542	0.02213305	0.01840437	0.009131081	0.01615374	0.008045285
9.35333364351799	NOART	duiven	houden	0.03497929	0.01383316	0.004723861	0.005706926	0.006191287	0.005028301
11.974258121278341	NOART	freq1	maakt	0.05126277	0.02766631	0.06120107	0.01141385	0.02749426	0.0100566
9.549483898107272	NOART	mensen	worden	0.03471323	0.01997906	0.005704295	0.01924151	0.003164754	0.008686783
3.246976081320503	NOART	Ik	freq1	0.02766631	0.006320115	0.01141385	0.002515319	0.0100566	0.002216216
4.791256820978565	NOART	zich	freq1	0.01844421	0.01518256	0.007609235	0.007348235	0.006704401	0.01889217
3.0169767186388703	NOART	ik	freq1	0.02371398	0.03950345	0.009783301	0.03619421	0.008619944	0.04063049
4.031641243157128	NOART	je	Maak	0.04647014	0.04036445	0.01266164	0.02510724	0.1026453	0.04618001
9.76259816628747	NOART	beleggingsfondsen	onderzoekt	0.06696163	0.01613868	0.03213727	0.00665808	0.00919651	0.00586635
2.317497176206186	NOART	moord	bekent	0.01486203	0.00665581	0.005439416	0.002745883	0.004792599	0.002419363
9.859496274152576	NOART	geld	haalt	0.02970544	0.008484669	0.01914732	0.00321509	0.0182656	0.003854225
16.10997875394898	NOART	freq1	is	0.07368176	0.02766631	0.0629354	0.01141385	0.08628295	0.0100566
12.649163979554586	NOART	freq1	zal	0.1160888	0.02766631	0.05286947	0.01141385	0.03315576	0.0100566
1.1094754836583594	NOART	zich	meldt	0.04195483	0.01518256	0.04535195	0.007348235	0.003905477	0.01889217
9.137016238275862	NOART	daling	zet	0.06094176	0.0105132	0.01915786	0.004337264	0.01026514	0.005968482
10.481055272329021	NOART	freq1	aanslagen	0.009015546	0.02766631	0.003424156	0.01141385	0.003732639	0.0100566
5.298080028492254	NOART	gevaar	loopt	0.02691331	0.006888804	0.03905809	0.002842004	0.02016527	0.002504054
5.937949927141839	NOART	niets	freq1	0.0191536	0.005965226	0.0079019	0.00246098	0.006962265	0.002567402
8.714896060094246	NOART	rechters	noemt	0.08599258	0.02085883	0.1102047	0.007263361	0.005875768	0.006399656
5.164053424727852	NOART	je	freq1	0.005072156	0.04036445	0.00209254	0.02510724	0.00184371	0.04618001
4.0320964619973765	NOART	winst	ziet	0.04810564	0.007237441	0.03710718	0.002844347	0.01313987	0.002506118
8.56721938684659	NOART	actie	wil	0.03567796	0.006773757	0.02007738	0.002794541	0.01564678	0.003095566
10.724731972781582	NOART	man	wordt	0.05810907	0.009950845	0.04107589	0.005018916	0.03338612	0.007167885
9.932913269119538	NOART	Champions	winnen	0.01146218	0.002169907	0.01016897	0.0008952038	0.003789445	0.0007887533
14.054071659726247	NOART	Zwitsers	wordt	0.05810907	0.02389363	0.04107589	0.009857419	0.03338612	0.008685248
3.536601026490653	NOART	Servië	geneest	0.01936642	0.01646804	0.007989695	0.006793961	0.007039624	0.005986074
10.509371106547038	NOART	Brits	zou	0.06728837	0.01979572	0.04758466	0.008166809	0.03023674	0.007195673
5.161020811012995	NOART	je	moet	0.05157093	0.04036445	0.03686694	0.02510724	0.02746667	0.04618001
8.498385845464957	NOART	overleg	breken	0.01392666	0.01128141	0.00459519	0.004654192	0.004048762	0.004100752
5.298080028492254	NOART	gevaar	loopt	0.02691331	0.006888804	0.03905809	0.002842004	0.02016527	0.002504054
5.056310213175925	NOART	Berlusconi	prikkelt	0.02766631	0.02249339	0.01141385	0.007661488	0.0100566	0.00689468
11.770388807298945	NOART	Pronk	laat	0.0448887	0.0235786	0.02506888	0.007919815	0.0152011	0.006978049
11.768940084017384	NOART	files	laat	0.0448887	0.01129237	0.02506888	0.004658717	0.0152011	0.004104737
5.252423341484989	NOART	freq1	freq1	0.02766631	0.01659979	0.01141385	0.006848311	0.0100566	0.00603396
3.252505009172899	NOART	Bernhards	freq1	0.02766631	0.02305526	0.01141385	0.009511543	0.0100566	0.008380501
6.656792084553848	NOART	koersen	drukt	0.05221472	0.02258889	0.006297299	0.006714033	0.008016262	0.00591565
4.16451515382011	NOART	man	schiet	0.01764229	0.009950845	0.007278401	0.005018916	0.006412908	0.007167885
7.3804272607958294	NOART	Kroaten	drijft	0.08699093	0.01778549	0.04448894	0.007337476	0.04332554	0.006464958
7.059336375803734	NOART	doodvonnis	velt	0.03434599	0.01976165	0.01100622	0.008152752	0.009697436	0.007183287
9.446517157380097	NOART	stapje	doet	0.03176604	0.01690719	0.07378192	0.006975135	0.01343439	0.006145703
4.2517855576548	NOART	Arsenal	bedwingt	0.02766631	0.01702542	0.01141385	0.007023908	0.0100566	0.006188677
